paisos,any,Europeista_percentatge,Reformista_Percentatge,Euroesceptic_percentatge
Polonia,2012,"68,76",0,"31,24"
Polonia,2013,"68,76",0,"31,24"
Polonia,2014,"68,76",0,"31,24"
Polonia,2015,"44,25",0,"55,75"
Polonia,2016,"44,25",0,"55,75"
Polonia,2017,"44,25",0,"55,75"
Polonia,2018,"44,25",0,"55,75"
Portugal,2005,"85,37","7,94","6,69"
Portugal,2006,"85,37","7,94","6,69"
Portugal,2007,"85,37","7,94","6,69"
Portugal,2008,"85,37","7,94","6,69"
Portugal,2009,"81,16","8,38","10,46"
Portugal,2010,"81,16","8,38","10,46"
Portugal,2011,"85,71","8,63","5,65"
Portugal,2012,"85,71","8,63","5,65"
Portugal,2013,"85,71","8,63","5,65"
Portugal,2014,"85,71","8,63","5,65"
Portugal,2015,"79,63","9,11","11,25"
Portugal,2016,"79,63","9,11","11,25"
Portugal,2017,"79,63","9,11","11,25"
Portugal,2018,"79,63","9,11","11,25"
Reino Unido,2005,"61,9","34,39","3,71"
Reino Unido,2006,"61,9","34,39","3,71"
Reino Unido,2007,"61,9","34,39","3,71"
Reino Unido,2008,"61,9","34,39","3,71"
Reino Unido,2009,"61,9","34,39","3,71"
Reino Unido,2010,"59,97","39,42","0,61"
Reino Unido,2011,"59,97","39,42","0,61"
Reino Unido,2012,"59,97","39,42","0,61"
Reino Unido,2013,"59,97","39,42","0,61"
Reino Unido,2014,"59,97","39,42","0,61"
Reino Unido,2015,"48,3","0,58","51,12"
Reino Unido,2016,"48,3","0,58","51,12"
Reino Unido,2017,"54,36","0,77","44,87"
Reino Unido,2018,"54,36","0,77","44,87"
República Checa,2005,"50,86",0,"49,14"
República Checa,2006,"48,75",0,"51,25"
República Checa,2007,"48,75",0,"51,25"
República Checa,2008,"48,75",0,"51,25"
República Checa,2009,"48,75",0,"51,25"
República Checa,2010,"61,2",0,"38,8"
República Checa,2011,"61,2",0,"38,8"
República Checa,2012,"61,2",0,"38,8"
República Checa,2013,"63,69",0,"36,31"
República Checa,2014,"63,69",0,"36,31"
República Checa,2015,"63,69",0,"36,31"
República Checa,2016,"63,69",0,"36,31"
República Checa,2017,"68,28",0,"31,72"
República Checa,2018,"68,28",0,"31,72"
Rumanía,2005,100,0,0
Rumanía,2006,100,0,0
Rumanía,2007,100,0,0
Rumanía,2008,100,0,0
Rumanía,2009,100,0,0
Rumanía,2010,100,0,0
Rumanía,2011,100,0,0
Rumanía,2012,"85,16",0,"14,84"
Rumanía,2013,"85,16",0,"14,84"
Rumanía,2014,"85,16",0,"14,84"
Rumanía,2015,"85,16",0,"14,84"
Rumanía,2016,100,0,0
Rumanía,2017,100,0,0
Rumanía,2018,100,0,0
Suecia,2005,"80,15","11,19","8,66"
Suecia,2006,"79,89","13,91","6,2"
Suecia,2007,"79,89","13,91","6,2"
Suecia,2008,"79,89","13,91","6,2"
Suecia,2009,"79,89","13,91","6,2"
Suecia,2010,"74,44","14,1","11,47"
Suecia,2011,"74,44","14,1","11,47"
Suecia,2012,"74,44","14,1","11,47"
Suecia,2013,"74,44","14,1","11,47"
Suecia,2014,"67,15","13,44","19,41"
Suecia,2015,"67,15","13,44","19,41"
Suecia,2016,"67,15","13,44","19,41"
Suecia,2017,"67,15","13,44","19,41"
Suecia,2018,"67,15","13,44","19,41"
