url;Field Label;Field Item 1
https://www.ethnologue.com/language/aah;Language Maps;Papua New Guinea, Map 4
https://www.ethnologue.com/language/aah;Language Status;6b (Threatened).
https://www.ethnologue.com/language/aah;Classification;Torricelli, Kombio-Arapesh, Arapesh
https://www.ethnologue.com/language/aah;Dialects;Matapau.
https://www.ethnologue.com/language/aah;Typology;SVO
https://www.ethnologue.com/language/aah;Language Use;In the northern villages, Abu’ is being replaced in most domains of language use by Tok Pisin [tpi]. Tok Pisin is the predominant language for 40% of the youth. Positive attitudes.
https://www.ethnologue.com/language/aah;Language Development;Grammar.
https://www.ethnologue.com/language/aah;Language Resources;OLAC resources in and about Arapesh, Abu’
https://www.ethnologue.com/language/aah;Writing;Unwritten [Qaax].
https://www.ethnologue.com/language/aai;Country;Papua New Guinea
https://www.ethnologue.com/language/aai;ISO 639-3;aai
https://www.ethnologue.com/language/aai;Alternate Names;Arifama-Miniafia, Miniafia-Arifama
https://www.ethnologue.com/language/aai;Population;3,470 (2000).
https://www.ethnologue.com/language/aai;Location;Oro province: Tufi district, Cape Nelson and Collingwood Bay, 4 coastal locations. 20 to 25 villages.
https://www.ethnologue.com/language/aai;Language Maps;Papua New Guinea, Map 17
https://www.ethnologue.com/language/aai;Language Status;5 (Developing).
https://www.ethnologue.com/language/aai;Classification;Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Western Oceanic, Papuan Tip, Nuclear, North Papuan Mainland-D’Entrecasteaux, Are-Taupota, Are
https://www.ethnologue.com/language/aai;Dialects;Arifama, Miniafia. Lexical similarity: 39% with Ubir [ubr].
https://www.ethnologue.com/language/aai;Typology;SOV.
https://www.ethnologue.com/language/aai;Language Use;Also use English [eng], Hiri Motu [hmo].
https://www.ethnologue.com/language/aai;Language Development;Literacy rate in L2: 10%. NT: 2009.
https://www.ethnologue.com/language/aai;Language Resources;OLAC resources in and about Miniafia Oyan
https://www.ethnologue.com/language/aai;Writing;Latin script [Latn].
https://www.ethnologue.com/language/aak;;Papua New Guinea
https://www.ethnologue.com/language/aak;ISO 639-3;aak
https://www.ethnologue.com/language/aak;Alternate Names;Angave
https://www.ethnologue.com/language/aak;Population;1,600 (1987 SIL).
https://www.ethnologue.com/language/aak;Location;Gulf province: Kerema district, Mbwei and Swanson valleys’ rivers.
https://www.ethnologue.com/language/aak;Language Maps;Papua New Guinea, Map 15
https://www.ethnologue.com/language/aak;Language Status;5 (Developing).
https://www.ethnologue.com/language/aak;Classification;Trans-New Guinea, Angan, Nuclear Angan
https://www.ethnologue.com/language/aak;Dialects;Sawuve, Wiyagwa, Wunavai, Miyatnu, Ankai, Bu’u.
https://www.ethnologue.com/language/aak;Language Development;Literacy rate in L1: Below 5%. Literacy rate in L2: Below 5%. NT: 1991.
https://www.ethnologue.com/language/aak;Language Resources;OLAC resources in and about Ankave
https://www.ethnologue.com/language/aak;Writing;Latin script [Latn].
https://www.ethnologue.com/language/aak;Other Comments;Traditional religion.
https://www.ethnologue.com/language/aal;;Cameroon
https://www.ethnologue.com/language/aal;ISO 639-3;aal
https://www.ethnologue.com/language/aal;Alternate Names;Afadeh, Affade, Mandagué
https://www.ethnologue.com/language/aal;Population;5,000 (Tourneux 2004). 40,000 all Kotoko languages (Tourneux 2004).
https://www.ethnologue.com/language/aal;Location;Far North region: Logone-and-Chari division, south Makari subdivision, Afade area.
https://www.ethnologue.com/language/aal;Language Maps;Northern Cameroon
https://www.ethnologue.com/language/aal;Language Status;6b (Threatened).
https://www.ethnologue.com/language/aal;Classification;Afro-Asiatic, Chadic, Biu-Mandara, B, B.1, Kotoko Proper, North
https://www.ethnologue.com/language/aal;Dialects;None known. Related to Mpade [mpi], Maslam [msv], Malgbe [mxf], Mser [kqx], and Lagwan [kot].
https://www.ethnologue.com/language/aal;Language Use;Also use Chadian Spoken Arabic [shu].
https://www.ethnologue.com/language/aal;Language Resources;OLAC resources in and about Afade
https://www.ethnologue.com/language/aal;Writing;Latin script [Latn].
https://www.ethnologue.com/language/aal;Other Comments;‘Mandage’ is used by the Kotoko to refer to either the northern group of Kotoko languages (Mpade, Afade, Maslam, Malgbe) or the Kotoko group as a whole (including Mser and Lagwan as well). Muslim.
https://www.ethnologue.com/language/aan;;Brazil
https://www.ethnologue.com/language/aan;ISO 639-3;aan
https://www.ethnologue.com/language/aan;Population;6 (Moore 2006). Ethnic population: 130 (2000 ISA).
https://www.ethnologue.com/language/aan;Location;Pará state
https://www.ethnologue.com/language/aan;Language Maps;Eastern Central Brazil
https://www.ethnologue.com/language/aan;Language Status;8b (Nearly extinct).
https://www.ethnologue.com/language/aan;Classification;Tupian, Tupí-Guaraní, Wayampí, Amanayé
https://www.ethnologue.com/language/aan;Dialects;None known. Reportedly similar to Asuriní do Tocantins [asu].
https://www.ethnologue.com/language/aan;Language Use;Shifting to Portuguese [por]. Also use Portuguese [por].
https://www.ethnologue.com/language/aan;Language Resources;OLAC resources in and about Anambé
https://www.ethnologue.com/language/aao;;Algeria
https://www.ethnologue.com/language/aao;ISO 639-3;aao
https://www.ethnologue.com/language/aao;Alternate Names;Saharan Arabic, Tamanghasset Arabic, Tamanrasset Arabic
https://www.ethnologue.com/language/aao;Population;100,000 (1996). Total users in all countries: 178,000.
https://www.ethnologue.com/language/aao;Location;Adrar, Béchar, Biskra, Djelfa, El Bayadh, El Oued, Ghardaïa, Illizi, Laghouat, Naama, Ouargla, Tamanrasset, and Tindouf provinces
https://www.ethnologue.com/language/aao;Language Maps;Algeria, Morocco, Tunisia and Western Sahara
https://www.ethnologue.com/language/aao;Language Status;6a (Vigorous).
https://www.ethnologue.com/language/aao;Classification;Afro-Asiatic, Semitic, Central, South, Arabic
https://www.ethnologue.com/language/aao;Dialects;None known. Structurally distinct from other Arabic varieties. A member of macrolanguage Arabic [ara].
https://www.ethnologue.com/language/aao;Language Development;
https://www.ethnologue.com/language/aao;Language Resources;OLAC resources in and about Arabic, Algerian Saharan Spoken
https://www.ethnologue.com/language/aap;;Brazil
https://www.ethnologue.com/language/aap;ISO 639-3;aap
https://www.ethnologue.com/language/aap;Alternate Names;Arára Bravos
https://www.ethnologue.com/language/aap;Autonym;Ukarãngmã
https://www.ethnologue.com/language/aap;Population;340 (2010 I. Souza).
https://www.ethnologue.com/language/aap;Location;Pará: Laranjal and Cachoeira Seca.
https://www.ethnologue.com/language/aap;Language Maps;Eastern Central Brazil
https://www.ethnologue.com/language/aap;Language Status;6a (Vigorous).
https://www.ethnologue.com/language/aap;Classification;Cariban, South Amazonian, Arara
https://www.ethnologue.com/language/aap;Dialects;None known. Reportedly most similar extant languages are Ikpeng [txi] and Bakairí [bkq].
https://www.ethnologue.com/language/aap;Language Use;Some also use Portuguese [por], especially adolescents.
https://www.ethnologue.com/language/aap;Language Development;A few school-aged children are learning to read and write in Arara, but nearly all literates read and write in Portuguese [por].
https://www.ethnologue.com/language/aap;Language Resources;OLAC resources in and about Arára, Pará
https://www.ethnologue.com/language/aap;Writing;Latin script [Latn], in development.
https://www.ethnologue.com/language/aap;Other Comments;Some groups uncontacted. Subgroups of the Arara are Apiaká or Miranya (Apingui), Arára-Pariri or Arára Mansos, Arára Bravos, Yarumá. Except for the Arára Bravos, from whom the present Arára of Pará people come, all the other subgroups are extinct.
https://www.ethnologue.com/language/aaq;;United States
https://www.ethnologue.com/language/aaq;ISO 639-3;aaq
https://www.ethnologue.com/language/aaq;Alternate Names;Abenaki, Alnombak, Alnôbak, Eastern Abnaki
https://www.ethnologue.com/language/aaq;Population;No known L1 speakers (Golla 2007). Last speaker died in 1993 (Golla 2007). Ethnic population: 90 (2000 census). Total Abenaki in the United States.
https://www.ethnologue.com/language/aaq;Location;Maine: Androscoggin-Kennebec and Penobscot valleys.
https://www.ethnologue.com/language/aaq;Language Status;9 (Dormant). Language of registered tribe: Penobscot Nation.
https://www.ethnologue.com/language/aaq;Classification;Algic, Algonquian, Eastern Algonquian, Abenaki
https://www.ethnologue.com/language/aaq;Dialects;Penobscot (Penawahpskewi).
https://www.ethnologue.com/language/aaq;Language Development;Attempts to reintroduce the language in the elementary school (2011) and to publish the first Penobscot dictionary (2013).
https://www.ethnologue.com/language/aaq;Language Resources;OLAC resources in and about Abenaki, Eastern
https://www.ethnologue.com/language/aaq;Other Comments;Penobscot dialect survived to the late 20th century near Bangor, Maine.
https://www.ethnologue.com/language/aar;;Ethiopia
https://www.ethnologue.com/language/aar;ISO 639-3;aar
https://www.ethnologue.com/language/aar;Alternate Names;Adal, Afaraf, Affar, Affarigna, Qafar af, ?Afár af, “Danakil” (pej.), “Denkel” (pej.)
https://www.ethnologue.com/language/aar;Autonym;Qafar
https://www.ethnologue.com/language/aar;Population;1,302,800 in Ethiopia, all users. L1 users: 1,280,000 (2007 census). L2 users: 22,800. 906,000 monolinguals (1994 census). Ethnic population: 1,280,000 (2007 census). Total users in all countries: 1,973,800 (as L1: 1,951,000
https://www.ethnologue.com/language/aar;Location;Afar, Amhara, and Somali regions: eastern lowlands.
https://www.ethnologue.com/language/aar;Language Maps;Djibouti, Eritrea and Ethiopia
https://www.ethnologue.com/language/aar;Language Status;2 (Provincial). Statutory provincial working language in Afar Region (1994, Constitution, Art 47).
https://www.ethnologue.com/language/aar;Classification;Afro-Asiatic, Cushitic, East, Saho-Afar
https://www.ethnologue.com/language/aar;Dialects;Northern Afar, Central Afar, Aussa, Baadu (Ba’adu). Related to Saho [ssy].
https://www.ethnologue.com/language/aar;Typology;SOV.
https://www.ethnologue.com/language/aar;Language Use;Also use Sudanese Spoken Arabic [apd].
https://www.ethnologue.com/language/aar;Language Development;Literacy rate in L2: 3%. Used in education. Literature. Radio. Videos. Dictionary. Grammar. Texts. Bible: 2013.
https://www.ethnologue.com/language/aar;Language Resources;OLAC resources in and about Afar
https://www.ethnologue.com/language/aar;Writing;Ethiopic script [Ethi], used in Ethiopia. Latin script [Latn], used since 1840, primary usage.
https://www.ethnologue.com/language/aar;Other Comments;Called ‘Danakil’ in Arabic and by others, but that is considered offensive by the Afar. Called Adal in Amharic. Nomadic. Muslim.
https://www.ethnologue.com/language/aas;;Tanzania
https://www.ethnologue.com/language/aas;ISO 639-3;aas
https://www.ethnologue.com/language/aas;Alternate Names;Aasá, Aramanik, Asak, Asax, Assa, Asá, Il Konono, Lamanik, “Dorobo” (pej.), “Ndorobo” (pej.)
https://www.ethnologue.com/language/aas;Population;350 (1999 J. Carr), decreasing.
https://www.ethnologue.com/language/aas;Location;Manyara region: Landenai, Lolbeni, and Ndovu Okutu villages in central Maasai steppe
https://www.ethnologue.com/language/aas;Language Maps;Tanzania
https://www.ethnologue.com/language/aas;Language Status;8b (Nearly extinct).
https://www.ethnologue.com/language/aas;Classification;Afro-Asiatic, Cushitic, South
https://www.ethnologue.com/language/aas;Language Use;Aasáx is being lost due to language shift. In 1999, it was reportedly spoken in central Massai Steppe. It was dependent on and absorbed into Maasai [mas] and nearby Bantu groups. Because of stigmatization, Aasáx speakers may identify themselves as Maasai. Smith (in Blackburn n.d.) mentions the number of about 100 people who have some knowledge of the language
https://www.ethnologue.com/language/aas;Language Development;Literacy rate in L2: 0%.
https://www.ethnologue.com/language/aas;Language Resources;OLAC resources in and about Aasáx
https://www.ethnologue.com/language/aas;Writing;Unwritten [Qaax].
https://www.ethnologue.com/language/aas;Other Comments;Lamanik and Il Konono apparently are identifications of ancestry and not the language. In some districts the Assa are nomadic.
https://www.ethnologue.com/language/aat;;Greece
https://www.ethnologue.com/language/aat;ISO 639-3;aat;;;;;;
https://www.ethnologue.com/language/aat;Alternate Names;Arberichte, Arbërisht, Arvanitic, Arvanitika;;;;;;
https://www.ethnologue.com/language/aat;Population;50,000 (Salminen 2007). Ethnic population: 150,000.;;;;;;
https://www.ethnologue.com/language/aat;Location;Aegean, Attica, Peloponnese, Western Greece and the Ionian Islands, Thessaly and Central Greece administrative units; Argolis and Korinthia areas; northwest Achaia, north of Lapas; Messinia, from Kalamitra northwest; Lakonia, east coastal area near Rikhea; Kyklades, Andros island north; Athens, mainly rural, 300 villages.
https://www.ethnologue.com/language/aat;Language Maps;Greece;;;;;;
https://www.ethnologue.com/language/aat;Language Status;7 (Shifting).;;;;;;
https://www.ethnologue.com/language/aat;Classification;Indo-European, Albanian, Tosk;;;;;;
https://www.ethnologue.com/language/aat;Dialects;Thracean Arvanitika, Northwestern Arvanitika, South Central Arvanitika. Partially intelligible with Albanian Tosk [als]. Dialects perceived as mutually unintelligible. A member of macrolanguage Albanian [sqi].;;;;;;
https://www.ethnologue.com/language/aat;Language Use;Youth migrate to Athens and assimilate as Greeks. Some cultural revival since the 1980s. Rapid language shift so regular use is probably confined to a much smaller number of people (Salminen 2007). Older adults;;;;;;
https://www.ethnologue.com/language/aat;Language Development;Grammar. NT: 1827.;;;;;;
https://www.ethnologue.com/language/aat;Language Resources;OLAC resources in and about Albanian, Arvanitika;;;;;;
https://www.ethnologue.com/language/aat;Writing;Greek script [Grek].;;;;;;
https://www.ethnologue.com/language/aat;Other Comments;The language is heavily influenced by Greek [ell]. Christian.;;;;;;
https://www.ethnologue.com/language/aau;;Papua New Guinea;;;;;;
https://www.ethnologue.com/language/aau;ISO 639-3;aau;;;;;;
https://www.ethnologue.com/language/aau;Alternate Names;Green River;;;;;;
https://www.ethnologue.com/language/aau;Autonym;Abau
https://www.ethnologue.com/language/aau;Population;7,270 (2000 census), increasing. No monolinguals.
https://www.ethnologue.com/language/aau;Location;Sandaun province: Green River district, Sepik and Green rivers.
https://www.ethnologue.com/language/aau;Language Maps;Papua New Guinea, Map 5
https://www.ethnologue.com/language/aau;Language Status;5 (Developing).
https://www.ethnologue.com/language/aau;Classification;Sepik, Abau
https://www.ethnologue.com/language/aau;Dialects;Central Abau, Downriver Abau, Downriver border Abau, Upriver Abau (Oriyai).
https://www.ethnologue.com/language/aau;Typology;SOV
https://www.ethnologue.com/language/aau;Language Use;Dialect differences are such that (especially young) people from different dialects use Tok Pisin [tpi] between them. Tok Pisin is favored if non-Abau speakers are present. Family, village disputes, cultural events. All ages, but increasingly youth prefer Tok Pisin [tpi]. Most also use Tok Pisin [tpi].
https://www.ethnologue.com/language/aau;Language Development;Literacy rate in L2: 60% (children higher, adults lower). Vernacular education mostly effective. Taught in primary schools. Literature. Grammar. Texts. NT: 2006.
https://www.ethnologue.com/language/aau;Language Resources;OLAC resources in and about Abau
https://www.ethnologue.com/language/aau;Writing;Latin script [Latn].
https://www.ethnologue.com/language/aaw;;Papua New Guinea
https://www.ethnologue.com/language/aaw;ISO 639-3;aaw
https://www.ethnologue.com/language/aaw;Alternate Names;Arawe, Arove, Pililo
https://www.ethnologue.com/language/aaw;Autonym;Solong
https://www.ethnologue.com/language/aaw;Population;2,200 (Wurm and Hattori 1981).
https://www.ethnologue.com/language/aaw;Location;West New Britain province: southwest coast.
https://www.ethnologue.com/language/aaw;Language Maps;Papua New Guinea, Map 12
https://www.ethnologue.com/language/aaw;Language Status;4 (Educational).
https://www.ethnologue.com/language/aaw;Classification;Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Western Oceanic, North New Guinea, Ngero-Vitiaz, Vitiaz, Southwest New Britain, Arawe-Pasismanua, Arawe, West Arawe
https://www.ethnologue.com/language/aaw;Dialects;Arawe. Dialect subgroup. Understood by all along the coast.
https://www.ethnologue.com/language/aaw;Language Use;Also use English [eng], Tok Pisin [tpi].
https://www.ethnologue.com/language/aaw;Language Development;3 primary schools.
https://www.ethnologue.com/language/aaw;Language Resources;OLAC resources in and about Solong
https://www.ethnologue.com/language/aaw;Writing;Latin script [Latn].
https://www.ethnologue.com/language/aaw;Other Comments;Glossonym: Solong. Ethnonym: Arove. Christian, traditional religion.
https://www.ethnologue.com/language/aax;;Indonesia
https://www.ethnologue.com/language/aax;ISO 639-3;aax
https://www.ethnologue.com/language/aax;Alternate Names;Dumut, Kambon, Kwem, Mandobbo, Nub, Wambon, “Kaeti” (pej.)
https://www.ethnologue.com/language/aax;Population;10,000 (2002 SIL).
https://www.ethnologue.com/language/aax;Location;Papua province: between Tanahmerah and Mindiptanah towns, toward Fly river border in Papua New Guinea.
https://www.ethnologue.com/language/aax;Language Maps;Indonesia, Eastern Papua
https://www.ethnologue.com/language/aax;Language Status;6a (Vigorous).
https://www.ethnologue.com/language/aax;Classification;Trans-New Guinea, Ok-Awyu, Awyu-Dumut, Dumut
https://www.ethnologue.com/language/aax;Language Resources;OLAC resources in and about Mandobo Atas
https://www.ethnologue.com/language/aax;Other Comments;Christian, traditional religion.
https://www.ethnologue.com/language/aaz;;Indonesia
https://www.ethnologue.com/language/aaz;ISO 639-3;aaz
https://www.ethnologue.com/language/aaz;Alternate Names;Timor Amarasi, Uab Meto
https://www.ethnologue.com/language/aaz;Population;70,000 (2011 Unit Bahasa dan Budaya - Gereja Masehi Injili di Timor (UBB-GMIT)).
https://www.ethnologue.com/language/aaz;Location;East Nusa Tenggara province: Kupang regency, Timor island southwest tip
https://www.ethnologue.com/language/aaz;Language Maps;Indonesia, Rote and West Timor
https://www.ethnologue.com/language/aaz;Language Status;5 (Developing).
https://www.ethnologue.com/language/aaz;Classification;Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Timor-Babar, Nuclear Timor, Uab Meto
https://www.ethnologue.com/language/aaz;Dialects;Kotos, Ro’is, Ro’is Tais Nonof, Ro’is Hero (Kopa). Part of Uab Meto language chain. Reportedly similar to Uab Meto [aoz] but with differences in phonology, vocabulary, and discourse, with semantic shifts, structural differences, intelligibility problems. Ro’is Tais Nonof dialect has intonation like Ro’is dialect, vocabulary like Kotos dialect.
https://www.ethnologue.com/language/aaz;Language Development;Literature. Newspapers. Texts. NT: 2015.
https://www.ethnologue.com/language/aaz;Language Resources;OLAC resources in and about Amarasi
https://www.ethnologue.com/language/aaz;Writing;Latin script [Latn].
https://www.ethnologue.com/language/aaz;Other Comments;Interspersed with Helong [heg]. Most literature in Kotos dialect. Christian.
https://www.ethnologue.com/language/aba;;Côte d’Ivoire
https://www.ethnologue.com/language/aba;ISO 639-3;aba
https://www.ethnologue.com/language/aba;Alternate Names;Abbey, Abbé, Abi
https://www.ethnologue.com/language/aba;Population;263,000 (2016).
https://www.ethnologue.com/language/aba;Location;Lacs district: Bongouanou subprefecture
https://www.ethnologue.com/language/aba;Language Maps;Côte d’Ivoire
https://www.ethnologue.com/language/aba;Language Status;5 (Developing).
https://www.ethnologue.com/language/aba;Classification;Niger-Congo, Atlantic-Congo, Volta-Congo, Kwa, Nyo, Agneby
https://www.ethnologue.com/language/aba;Dialects;Tioffo, Morie, Abbey-Ve, Kos (Khos).
https://www.ethnologue.com/language/aba;Typology;SVO
https://www.ethnologue.com/language/aba;Language Use;Also use French [fra]. Used as L2 by Attié [ati], Krobu [kxb].
https://www.ethnologue.com/language/aba;Language Development;Literacy rate in L1: 5%–10%. Literacy rate in L2: 50%–75%. Bible portions: 1967–1980.
https://www.ethnologue.com/language/aba;Language Resources;OLAC resources in and about Abé
https://www.ethnologue.com/language/aba;Writing;Latin script [Latn].
https://www.ethnologue.com/language/aba;Other Comments;Christian, traditional religion.
https://www.ethnologue.com/language/abb;;Cameroon
https://www.ethnologue.com/language/abb;ISO 639-3;abb
https://www.ethnologue.com/language/abb;Alternate Names;Abaw, Abo, Bo, Bon
https://www.ethnologue.com/language/abb;Population;12,000 (2001 SIL).
https://www.ethnologue.com/language/abb;Location;Littoral region: Moungo division, north of Douala and west of Wouri river, and Dibombari.
https://www.ethnologue.com/language/abb;Language Maps;Southern Cameroon
https://www.ethnologue.com/language/abb;Language Status;6b (Threatened).
https://www.ethnologue.com/language/abb;Classification;Niger-Congo, Atlantic-Congo, Volta-Congo, Benue-Congo, Bantoid, Southern, Narrow Bantu, Northwest, A, Basaa (A.42)
https://www.ethnologue.com/language/abb;Dialects;None known. Lexical similarity: 86% with Barombi [bbi].
https://www.ethnologue.com/language/abb;Language Use;Some young people, all adults.
https://www.ethnologue.com/language/abb;Language Development;Grammar.
https://www.ethnologue.com/language/abb;Language Resources;OLAC resources in and about Bankon
https://www.ethnologue.com/language/abb;Writing;Unwritten [Qaax].
https://www.ethnologue.com/language/abc;;Philippines
https://www.ethnologue.com/language/abc;ISO 639-3;abc
https://www.ethnologue.com/language/abc;Alternate Names;Ambala Agta, Ambala Sambal
https://www.ethnologue.com/language/abc;Population;1,660 (1986 SIL).
https://www.ethnologue.com/language/abc;Location;Central Visayas region: Zambales province, Castillejos, Olongapa, San Marcelino and Subic city
https://www.ethnologue.com/language/abc;Language Maps;Northern Philippines
https://www.ethnologue.com/language/abc;Language Status;6a (Vigorous).
https://www.ethnologue.com/language/abc;Classification;Austronesian, Malayo-Polynesian, Central Luzon, Sambalic
https://www.ethnologue.com/language/abc;Dialects;None known. Ambala Ayta speakers’ comprehension of Botolan Sambal [sbl] is 60%, of Mag-Indi Ayta [blx] is 54%, of Mag-antsi Ayta [sgb] is 60%, of Magbukun Ayta [ayt] is 70%. Lexical similarity: 70% with Botolan Sambal, 55% with Filipino [fil].
https://www.ethnologue.com/language/abc;Language Use;Also use Filipino [fil].
https://www.ethnologue.com/language/abc;Language Development;Literacy rate in L1: 25%. Literacy rate in L2: 25%. Bible portions: 2014.
https://www.ethnologue.com/language/abc;Language Resources;OLAC resources in and about Ayta, Ambala
